gene_id	transcript_id(s)	T1_R1	T1_R10	T1_R2	T1_R3	T1_R4	T1_R5	T1_R6	T1_R7	T1_R8	T1_R9
ENSOARG00020017048	ENSOART00020026231	94.00	143.00	7.00	26.00	10.00	21.00	79.00	11.00	135.00	59.00
ENSOARG00020017049	ENSOART00020026247,ENSOART00020026407	2006.00	3093.00	2781.00	2261.00	3021.00	3305.00	3283.00	4358.00	3053.00	2932.00
ENSOARG00020017050	ENSOART00020026207	415.00	591.00	368.00	423.00	378.00	570.00	639.00	519.00	606.00	608.00
ENSOARG00020017051	ENSOART00020026240	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017052	ENSOART00020026198	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017053	ENSOART00020026252	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017054	ENSOART00020026205	35.00	82.00	16.00	8.00	10.00	14.00	63.00	4.00	117.00	19.00
ENSOARG00020017055	ENSOART00020026235,ENSOART00020026490,ENSOART00020026720,ENSOART00020026971,ENSOART00020027227,ENSOART00020027488	675.00	643.00	921.00	422.00	494.00	667.00	245.00	741.00	906.00	137.00
ENSOARG00020017056	ENSOART00020026253	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017057	ENSOART00020026255	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017058	ENSOART00020026398,ENSOART00020026481,ENSOART00020026560	706.00	330.00	528.00	399.00	546.00	576.00	143.00	536.00	735.00	109.00
ENSOARG00020017059	ENSOART00020026249	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017060	ENSOART00020026299,ENSOART00020026335	1139.00	1742.00	1131.00	1059.00	1198.00	1510.00	2903.00	1544.00	2215.00	2102.00
ENSOARG00020017061	ENSOART00020026250,ENSOART00020026272	34.06	28.60	10.98	36.05	15.72	16.91	70.10	23.95	35.84	25.09
ENSOARG00020017062	ENSOART00020026550,ENSOART00020026921,ENSOART00020027269,ENSOART00020027659,ENSOART00020028068,ENSOART00020028290,ENSOART00020028678,ENSOART00020029012,ENSOART00020029042	1442.00	553.00	1509.00	1168.00	1297.00	1646.00	128.00	1191.00	1635.00	77.00
ENSOARG00020017063	ENSOART00020026269,ENSOART00020026284	0.00	4.00	6.00	6.00	22.00	7.00	4.00	39.00	6.00	12.00
ENSOARG00020017064	ENSOART00020026300	607.00	1218.00	780.00	617.00	752.00	1063.00	1463.00	810.00	1250.00	1403.00
ENSOARG00020017065	ENSOART00020026237	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017066	ENSOART00020026286	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00
ENSOARG00020017067	ENSOART00020026359,ENSOART00020026549,ENSOART00020026607,ENSOART00020026760,ENSOART00020026896	311.00	231.00	335.00	271.00	314.00	377.00	265.00	322.00	400.00	252.00
ENSOARG00020017068	ENSOART00020026245	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017069	ENSOART00020026292	0.00	1.09	1.10	1.22	0.00	1.12	0.00	0.00	1.12	0.00
ENSOARG00020017070	ENSOART00020026226	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017071	ENSOART00020026261	629.00	446.00	344.00	484.00	236.00	388.00	426.00	523.00	781.00	915.00
ENSOARG00020017072	ENSOART00020026326,ENSOART00020026381	9349.00	6636.00	6066.00	5581.00	5257.00	6933.00	5238.00	6220.00	11144.00	5561.00
ENSOARG00020017073	ENSOART00020026327,ENSOART00020026375	137.00	159.00	242.00	169.00	188.00	322.00	87.00	279.00	315.00	52.00
ENSOARG00020017074	ENSOART00020026257,ENSOART00020026453,ENSOART00020026556	1200.00	1395.00	1465.00	1214.00	1389.00	1581.00	807.00	1806.00	1680.00	494.00
ENSOARG00020017075	ENSOART00020026325	0.00	1.00	1.00	1.00	14.00	6.00	2.00	3.00	4.00	5.00
ENSOARG00020017076	ENSOART00020026301	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017077	ENSOART00020026289	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017078	ENSOART00020026355	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017079	ENSOART00020026309,ENSOART00020026808,ENSOART00020027205,ENSOART00020027773	1412.00	1029.00	1752.00	1738.00	1439.00	2634.00	156.00	1595.00	1794.00	253.00
ENSOARG00020017080	ENSOART00020026353,ENSOART00020026410	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017081	ENSOART00020026274	9.00	10.00	12.00	23.00	14.00	39.00	9.00	24.00	8.00	4.00
ENSOARG00020017082	ENSOART00020026243	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017083	ENSOART00020026275	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017084	ENSOART00020026263	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017085	ENSOART00020026270	19.00	77.00	45.00	25.00	43.00	52.00	203.00	38.00	60.00	124.00
ENSOARG00020017086	ENSOART00020026288	1345.00	7251.00	283.00	351.00	556.00	345.00	3882.00	427.00	6693.00	5991.00
ENSOARG00020017087	ENSOART00020026291	1377.00	2936.99	822.00	1205.00	1234.89	1466.00	1955.00	1426.00	2721.00	1574.00
ENSOARG00020017088	ENSOART00020026295,ENSOART00020026366	13196.96	25480.92	15575.97	10701.99	16025.94	19942.95	44675.88	13329.96	33196.91	39162.24
ENSOARG00020017089	ENSOART00020026259	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017090	ENSOART00020026400	45.00	53.00	30.00	25.00	44.00	57.00	37.00	44.00	100.00	71.00
ENSOARG00020017091	ENSOART00020026308	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017092	ENSOART00020026305	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017093	ENSOART00020026262	4.00	12.00	109.00	190.00	272.00	332.00	34.00	418.00	22.00	9.00
ENSOARG00020017094	ENSOART00020026343,ENSOART00020026412	1.00	42.00	3.00	0.00	0.00	0.00	43.00	0.00	0.00	1.00
ENSOARG00020017095	ENSOART00020026271	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017096	ENSOART00020026306	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017097	ENSOART00020026307	190.00	126.00	73.00	111.00	108.00	65.00	157.00	188.00	225.00	198.00
ENSOARG00020017098	ENSOART00020026276	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017099	ENSOART00020026294	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017100	ENSOART00020026336	123.00	102.00	29.00	39.00	114.00	85.00	25.00	97.00	213.00	273.00
ENSOARG00020017101	ENSOART00020026363	69.00	162.00	105.00	124.00	433.00	196.00	140.00	831.00	261.00	402.00
ENSOARG00020017102	ENSOART00020026311	34.00	30.00	54.00	58.00	140.00	76.00	16.00	180.00	79.00	25.00
ENSOARG00020017103	ENSOART00020026395	27.00	61.00	350.00	169.00	424.00	458.00	198.00	388.00	19.00	32.00
ENSOARG00020017104	ENSOART00020026297	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017105	ENSOART00020026436	0.00	0.00	220.00	0.00	0.00	1.00	0.00	4.00	0.00	0.00
ENSOARG00020017106	ENSOART00020027033,ENSOART00020027142,ENSOART00020027165,ENSOART00020027187,ENSOART00020027203	444.00	430.00	558.00	415.00	423.00	636.00	267.00	236.00	600.00	225.00
ENSOARG00020017107	ENSOART00020027188,ENSOART00020027223,ENSOART00020027342,ENSOART00020027384,ENSOART00020027436	346.00	246.00	161.00	171.00	236.00	176.00	212.00	292.00	377.00	287.00
ENSOARG00020017108	ENSOART00020026337	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017109	ENSOART00020026331	725.94	1078.40	505.02	569.95	440.28	723.09	1511.90	495.05	1282.16	1165.91
ENSOARG00020017110	ENSOART00020026348	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00	1.00	2.00
ENSOARG00020017111	ENSOART00020026332	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017112	ENSOART00020026330	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSOARG00020017113	ENSOART00020026867,ENSOART00020026920,ENSOART00020026999,ENSOART00020027045,ENSOART00020027096	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	2.00
ENSOARG00020017114	ENSOART00020026548	1.00	5.00	384.00	219.00	319.00	388.00	3.00	190.00	7.00	6.00
